AUTHOR;COUNTRY;DESCRIPTION;KEYWORDUSED;LANGUAGE;LIKEDAT;LIKES;POSTEDAT;URL
Shyrel-Ann Dean;;The Society for Caribbean Linguistics (SCL) Community Magazine is out and available for viewing and commentary. Click on the link to read and enjoy. #society #community #caribbean #language #linguistics https://lnkd.in/ekTtks5x;#linguistics;English;2022-12-14T09:00:27.356558;2;2022-12-13T23:50:27.726128;https://www.linkedin.com/feed/update/urn:li:activity:7008567918636453888/?actorCompanyId=1176657
Clive Forrester, Ph.D.;;Check out the first issue of ""Chat So"" the Society for Caribbean Linguistics (SCL) Community Magazine #scl #caribbeanlanguage #linguistics https://lnkd.in/ghnG6yyf;#linguistics;English;2022-12-14T09:00:15.994857;3;2022-12-13T23:50:25.475806;https://www.linkedin.com/feed/update/urn:li:activity:7008576632999358464/?actorCompanyId=1176657
Baishalee Chamuah;;102nd Banaras Hindu University Convocation. Finally officially Post Graduated. The journey started in the lockdown barely knowing each other and ended up being best of friends during the last 6 months #people #university #bhu #banarashinduuniversity #convocation2022 #graduated #linguistics #BanarasH;#linguistics;English;2022-12-14T08:54:19.829202;9;2022-12-14T03:48:35.669975;https://www.linkedin.com/feed/update/urn:li:activity:7008637531055423488/?actorCompanyId=1176657
Joyce Tan;;My freelance 😊 I write commercial pieces for various sectors for example property, insurance, small business needs, for home appliances, etc etc. If you want to check out some of my non commercial articles, you can go to https://lnkd.in/gJ2PtbQP #copywriters #copywriting #copywritingservices #tra;#translation;English;2022-12-14T08:10:11.559155;2;2022-12-14T06:56:49.929608;https://www.linkedin.com/feed/update/urn:li:activity:7008685915053182976/?actorCompanyId=1176657
BMA Maschinenvertrieb;;Wir arbeiten derzeit an den Übersetzungen unserer neuesten Maschinenprospekte in mehreren Sprachen. Natürlich auch auf Deutsch. Wir geben dafür den Input an technischen Fachbegriffen weiter, sodass unsere Prospekte die Sprache wiedergeben, die auch auf jeden Umschlagplatz gesprochen wird. Schließlic;Sprachen;German;2022-12-14T07:46:04.192824;2;2022-12-13T22:56:53.912502;https://www.linkedin.com/feed/update/urn:li:activity:7008553343258095617/?actorCompanyId=1176657
Lenka de Graafova;;Service: Certified Translation Language: Spanish to English Word count: 3 pages Industry: Legal Turnaround Time: 3-5 business days plus mailing time Location: BC, Canada #lingostar #translation #certified #spanish #english #legal #translationservice #translationagency;#translationagency;English;2022-12-14T07:45:43.997289;4;2022-12-13T22:48:40.426012;https://www.linkedin.com/feed/update/urn:li:activity:7008554663897702401/?actorCompanyId=1176657
Nicole Quilfen 🎙;;Check out Mediartis' new white paper ""Understanding Vendor & Freelancer Privacy Risks in Localisation Operations"", co-authored by Convergent. You can download it here: https://bit.ly/3gXLOsP #localization #privacy #gdpr #security #dataprotection #vendorriskmanagement #dubbing #voiceover;#localization;English;2022-12-14T07:44:40.465516;3;2022-12-13T12:17:06.822558;https://www.linkedin.com/feed/update/urn:li:activity:7008403765196148736/?actorCompanyId=1176657
Amanda Pennie;;It has been amazing seeing #carriers leverage Hi Marley’s #translation feature to improve responsiveness and streamline the #claimsprocess, ultimately driving #customersatisfaction.;#translation;English;2022-12-14T07:43:06.611348;2;2022-12-13T21:12:22.733869;https://www.linkedin.com/feed/update/urn:li:activity:7008538954933137409/?actorCompanyId=1176657
Bill Golden;;Linguist jobs are often advertised by their category level: CAT I, II, III ... WHAT is that about? https://lnkd.in/ec4n_uVU ... #Careers #Linguistics #Linguists #Translators (12/13);#linguistics;English;2022-12-14T07:41:34.954399;2;2022-12-13T19:50:47.716191;https://www.linkedin.com/feed/update/urn:li:activity:7008518463262478338/?actorCompanyId=1176657
Hongchen Wu;;Spread the word and please consider applying! #languages #linguistics #foreignlanguage #intercultural #liberalarts;#linguistics;English;2022-12-14T07:32:09.170384;2;2022-12-13T15:08:33.096821;https://www.linkedin.com/feed/update/urn:li:activity:7008444556887171072/?actorCompanyId=1176657
